months_as_customer,age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss
208,41,FEMALE,College,tech-support,chess,husband,0,0
147,37,MALE,MD,prof-specialty,video-games,other-relative,0,0
8,21,MALE,High School,handlers-cleaners,hiking,husband,0,0
297,48,FEMALE,MD,other-service,kayaking,wife,0,-54700
150,31,MALE,Masters,machine-op-inspct,base-jumping,husband,52800,0
4,34,FEMALE,College,exec-managerial,basketball,other-relative,0,0
210,35,MALE,Masters,farming-fishing,cross-fit,not-in-family,44900,-91400
91,31,FEMALE,High School,priv-house-serv,polo,own-child,63600,0
167,36,FEMALE,Masters,exec-managerial,camping,other-relative,0,-38400
467,58,MALE,Masters,transport-moving,bungie-jumping,own-child,82200,0
264,47,FEMALE,JD,transport-moving,sleeping,other-relative,0,-67400
270,45,FEMALE,PhD,priv-house-serv,yachting,not-in-family,83200,-53300
310,48,FEMALE,Masters,priv-house-serv,base-jumping,other-relative,0,0
143,34,MALE,College,priv-house-serv,exercise,wife,67900,0
146,32,MALE,Associate,priv-house-serv,skydiving,own-child,0,0
102,28,MALE,MD,machine-op-inspct,reading,wife,55200,0
61,23,MALE,JD,exec-managerial,bungie-jumping,other-relative,54600,0
255,44,FEMALE,PhD,priv-house-serv,chess,not-in-family,68500,0
211,40,FEMALE,PhD,other-service,sleeping,own-child,0,0
61,29,MALE,JD,handlers-cleaners,polo,unmarried,0,-66000
108,31,MALE,Masters,protective-serv,yachting,not-in-family,0,0
303,50,MALE,MD,tech-support,board-games,own-child,54600,-45500
152,33,FEMALE,PhD,transport-moving,exercise,wife,0,0
120,34,FEMALE,JD,protective-serv,paintball,not-in-family,77900,0
144,36,FEMALE,Associate,sales,reading,other-relative,23600,-15600
414,52,FEMALE,High School,farming-fishing,chess,unmarried,44000,-71000
163,37,FEMALE,JD,priv-house-serv,dancing,own-child,0,-67300
352,53,MALE,Associate,tech-support,exercise,wife,0,0
27,32,FEMALE,PhD,adm-clerical,yachting,other-relative,37900,0
239,39,FEMALE,Masters,other-service,reading,husband,0,0
33,32,FEMALE,PhD,other-service,base-jumping,husband,70300,-50300
88,30,FEMALE,College,transport-moving,reading,husband,42800,-51200
101,33,FEMALE,College,priv-house-serv,board-games,unmarried,12100,0
20,37,FEMALE,Associate,transport-moving,reading,husband,33000,-43600
126,30,FEMALE,Associate,machine-op-inspct,board-games,not-in-family,46500,-42700
264,43,MALE,Associate,adm-clerical,video-games,not-in-family,0,-8500
78,24,MALE,Masters,craft-repair,yachting,husband,0,0
123,28,MALE,Masters,transport-moving,movies,own-child,38000,-41200
347,51,FEMALE,MD,priv-house-serv,board-games,unmarried,0,-12100
163,38,FEMALE,PhD,other-service,yachting,other-relative,51700,0
271,44,FEMALE,High School,tech-support,base-jumping,other-relative,0,0
410,54,MALE,MD,protective-serv,board-games,own-child,0,-17000
448,57,FEMALE,PhD,tech-support,hiking,own-child,38600,-50300
218,41,MALE,JD,prof-specialty,golf,wife,37900,-72900
43,38,MALE,PhD,handlers-cleaners,skydiving,other-relative,64400,0
33,33,FEMALE,Associate,handlers-cleaners,dancing,unmarried,45500,-60600
126,34,FEMALE,Masters,transport-moving,camping,wife,54500,0
411,56,FEMALE,College,protective-serv,exercise,other-relative,0,0
225,37,FEMALE,High School,farming-fishing,yachting,not-in-family,49600,0
35,35,FEMALE,PhD,protective-serv,kayaking,not-in-family,0,-51900
460,57,FEMALE,JD,craft-repair,skydiving,husband,62500,0
195,38,MALE,MD,tech-support,video-games,unmarried,38000,-50300
360,51,MALE,PhD,armed-forces,hiking,not-in-family,0,-62400
300,49,FEMALE,PhD,farming-fishing,kayaking,wife,0,0
245,42,MALE,JD,exec-managerial,chess,other-relative,0,-68900
146,36,FEMALE,Masters,other-service,golf,other-relative,34500,-60600
67,29,MALE,High School,adm-clerical,polo,husband,60400,-67800
380,56,MALE,MD,farming-fishing,cross-fit,other-relative,66000,0
389,53,MALE,Masters,armed-forces,chess,unmarried,0,0
317,46,MALE,MD,sales,yachting,other-relative,43700,0
264,44,MALE,College,exec-managerial,sleeping,wife,0,0
20,21,FEMALE,Masters,priv-house-serv,polo,other-relative,0,-41200
116,30,MALE,JD,handlers-cleaners,golf,not-in-family,0,-35500
222,40,MALE,JD,armed-forces,camping,unmarried,49600,-49200
439,56,MALE,High School,armed-forces,video-games,own-child,48900,-40900
66,28,MALE,Associate,adm-clerical,exercise,husband,0,-31700
128,29,MALE,High School,other-service,golf,husband,0,-76000
69,24,FEMALE,High School,armed-forces,yachting,other-relative,0,0
294,46,MALE,College,prof-specialty,exercise,own-child,0,0
19,29,MALE,JD,transport-moving,cross-fit,not-in-family,0,0
191,33,MALE,High School,armed-forces,movies,unmarried,45000,-30400
4,39,FEMALE,High School,machine-op-inspct,reading,unmarried,64200,0
298,49,MALE,MD,machine-op-inspct,camping,wife,0,-71700
231,43,FEMALE,Masters,adm-clerical,reading,not-in-family,0,0
338,47,FEMALE,Associate,armed-forces,board-games,own-child,0,-56200
261,46,MALE,PhD,prof-specialty,camping,unmarried,0,-49400
321,44,MALE,Associate,machine-op-inspct,hiking,husband,0,-39100
0,32,MALE,College,tech-support,base-jumping,wife,61400,-41100
405,58,MALE,MD,exec-managerial,exercise,not-in-family,0,-46900
304,49,FEMALE,PhD,craft-repair,camping,own-child,0,0
1,29,FEMALE,JD,craft-repair,paintball,other-relative,52200,0
26,39,MALE,Masters,tech-support,sleeping,husband,0,-53700
202,38,FEMALE,Associate,armed-forces,exercise,husband,0,-37500
289,48,FEMALE,PhD,handlers-cleaners,board-games,own-child,0,-42700
61,26,FEMALE,JD,farming-fishing,skydiving,wife,0,-53800
334,46,MALE,MD,sales,reading,other-relative,0,0
12,24,FEMALE,PhD,tech-support,paintball,other-relative,51400,0
86,29,MALE,High School,prof-specialty,yachting,husband,74200,-68100
83,24,FEMALE,High School,machine-op-inspct,board-games,unmarried,0,0
126,30,MALE,College,sales,golf,unmarried,55300,-58400
209,38,MALE,High School,priv-house-serv,reading,husband,38600,-52900
283,48,FEMALE,JD,sales,paintball,husband,0,-46200
194,34,MALE,JD,other-service,hiking,not-in-family,0,0
184,38,FEMALE,College,transport-moving,chess,not-in-family,0,0
479,60,FEMALE,College,other-service,cross-fit,husband,0,0
284,48,FEMALE,JD,tech-support,movies,other-relative,0,-42400
65,27,FEMALE,College,adm-clerical,exercise,wife,43000,-42500
222,39,MALE,High School,armed-forces,hiking,own-child,87800,-51200
196,41,MALE,JD,protective-serv,camping,other-relative,0,-78600
253,43,FEMALE,Associate,tech-support,exercise,unmarried,46300,-33000
280,43,MALE,JD,transport-moving,hiking,own-child,0,-51600
5,26,FEMALE,PhD,farming-fishing,skydiving,not-in-family,31500,0
220,42,MALE,College,farming-fishing,hiking,other-relative,33500,-49500
85,30,FEMALE,MD,craft-repair,video-games,own-child,72400,-77000
266,46,FEMALE,Associate,tech-support,skydiving,own-child,0,-45800
41,26,FEMALE,JD,prof-specialty,exercise,own-child,46700,0
316,45,FEMALE,High School,prof-specialty,kayaking,husband,58300,0
285,47,FEMALE,Masters,sales,basketball,other-relative,55100,0
379,54,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0
15,34,FEMALE,High School,sales,video-games,other-relative,33500,-58900
354,48,FEMALE,Masters,sales,exercise,unmarried,0,0
342,53,FEMALE,College,prof-specialty,dancing,not-in-family,0,0
169,38,MALE,PhD,craft-repair,skydiving,own-child,23300,0
339,49,MALE,JD,adm-clerical,paintball,not-in-family,98800,-65300
259,42,FEMALE,PhD,armed-forces,sleeping,wife,65000,-49200
65,23,FEMALE,College,sales,dancing,wife,0,-71900
254,46,MALE,MD,tech-support,basketball,husband,0,-90600
440,55,FEMALE,Associate,priv-house-serv,reading,other-relative,0,-56200
478,63,MALE,High School,adm-clerical,paintball,own-child,47600,0
230,44,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400
138,30,FEMALE,PhD,other-service,reading,wife,27700,-72400
239,41,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300
93,31,FEMALE,MD,prof-specialty,paintball,husband,0,0
37,25,FEMALE,Masters,protective-serv,golf,not-in-family,49300,0
254,40,MALE,MD,prof-specialty,yachting,husband,0,0
131,29,FEMALE,Associate,sales,paintball,own-child,65700,0
230,43,MALE,MD,prof-specialty,board-games,wife,48100,0
313,50,MALE,MD,armed-forces,polo,unmarried,0,0
210,38,MALE,JD,tech-support,golf,other-relative,0,0
101,29,MALE,PhD,armed-forces,dancing,own-child,30000,-53000
153,37,MALE,High School,transport-moving,basketball,unmarried,52300,-55600
337,53,MALE,Associate,armed-forces,basketball,wife,0,-34600
360,51,MALE,Masters,handlers-cleaners,chess,not-in-family,0,-32900
428,53,FEMALE,High School,tech-support,camping,unmarried,0,0
204,40,FEMALE,JD,sales,hiking,not-in-family,0,0
364,51,MALE,Masters,transport-moving,board-games,wife,0,0
185,35,MALE,College,other-service,sleeping,own-child,0,0
63,26,MALE,PhD,craft-repair,polo,own-child,0,-36500
210,35,FEMALE,College,exec-managerial,yachting,not-in-family,0,-19500
194,38,FEMALE,PhD,craft-repair,movies,not-in-family,46500,0
294,49,MALE,Masters,farming-fishing,bungie-jumping,own-child,22700,0
272,41,MALE,MD,protective-serv,chess,wife,38600,-42800
27,27,FEMALE,College,adm-clerical,dancing,own-child,0,-55800
251,39,FEMALE,Associate,other-service,hiking,not-in-family,0,-31700
180,33,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000
392,50,FEMALE,PhD,exec-managerial,exercise,not-in-family,68400,-66800
143,30,FEMALE,High School,exec-managerial,dancing,unmarried,0,-65700
371,54,MALE,High School,craft-repair,movies,wife,34700,-81000
292,42,MALE,JD,machine-op-inspct,camping,other-relative,0,-53800
165,35,MALE,College,craft-repair,camping,own-child,0,-49900
158,33,MALE,JD,prof-specialty,movies,unmarried,0,0
241,39,FEMALE,JD,adm-clerical,paintball,own-child,0,-54900
103,33,FEMALE,Masters,other-service,paintball,wife,69500,-47700
402,54,MALE,JD,farming-fishing,board-games,not-in-family,48000,-79600
102,32,MALE,JD,tech-support,chess,wife,0,0
182,40,MALE,PhD,other-service,skydiving,husband,50000,-56900
282,46,MALE,MD,other-service,dancing,wife,51100,-75100
222,39,MALE,High School,transport-moving,board-games,not-in-family,71400,0
415,52,MALE,PhD,machine-op-inspct,polo,not-in-family,50400,0
51,34,MALE,PhD,machine-op-inspct,camping,unmarried,0,0
255,45,MALE,High School,sales,base-jumping,own-child,0,-40200
143,31,MALE,Associate,protective-serv,movies,husband,37700,0
130,28,FEMALE,JD,farming-fishing,movies,other-relative,0,-38500
242,41,MALE,Masters,protective-serv,polo,unmarried,0,-57000
96,27,FEMALE,High School,priv-house-serv,exercise,wife,0,0
180,35,MALE,MD,machine-op-inspct,yachting,wife,0,-55800
150,30,MALE,College,sales,yachting,own-child,40100,0
463,59,FEMALE,JD,exec-managerial,yachting,not-in-family,51700,0
472,64,MALE,Masters,other-service,skydiving,not-in-family,0,0
75,25,FEMALE,Associate,priv-house-serv,hiking,husband,0,0
193,40,FEMALE,College,handlers-cleaners,chess,husband,0,0
43,43,FEMALE,Associate,armed-forces,yachting,not-in-family,0,0
253,41,FEMALE,College,machine-op-inspct,bungie-jumping,not-in-family,36600,0
152,30,FEMALE,JD,craft-repair,polo,wife,58600,0
160,38,MALE,High School,sales,sleeping,wife,0,-43800
56,36,MALE,JD,farming-fishing,exercise,own-child,0,-28800
286,41,FEMALE,College,prof-specialty,golf,other-relative,45500,-62500
3,29,FEMALE,JD,priv-house-serv,chess,unmarried,0,0
286,41,FEMALE,High School,sales,camping,other-relative,71300,-70300
239,38,FEMALE,Masters,handlers-cleaners,bungie-jumping,other-relative,0,0
64,29,MALE,High School,exec-managerial,cross-fit,other-relative,0,-61400
98,31,MALE,Masters,machine-op-inspct,bungie-jumping,wife,0,-26400
16,35,MALE,JD,sales,chess,own-child,59300,-31400
70,27,FEMALE,Masters,adm-clerical,video-games,own-child,46000,0
75,27,MALE,JD,armed-forces,movies,other-relative,0,0
246,44,MALE,High School,machine-op-inspct,reading,not-in-family,0,0
110,27,FEMALE,Associate,priv-house-serv,golf,own-child,0,-66200
236,39,FEMALE,Masters,exec-managerial,reading,wife,0,-63900
267,46,FEMALE,MD,adm-clerical,polo,wife,0,0
463,57,MALE,Masters,priv-house-serv,dancing,wife,0,0
303,46,MALE,Masters,machine-op-inspct,kayaking,husband,0,0
137,30,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700
56,42,FEMALE,Associate,adm-clerical,chess,not-in-family,0,0
75,27,MALE,High School,handlers-cleaners,board-games,not-in-family,57900,-90100
131,33,MALE,MD,sales,yachting,wife,0,-65200
153,34,MALE,High School,tech-support,paintball,other-relative,45600,-61400
255,43,FEMALE,JD,transport-moving,board-games,unmarried,75800,0
103,26,MALE,MD,tech-support,sleeping,husband,66300,0
97,28,MALE,JD,farming-fishing,video-games,husband,0,-32600
214,36,FEMALE,Associate,machine-op-inspct,kayaking,own-child,0,0
438,57,FEMALE,MD,machine-op-inspct,chess,husband,0,0
87,27,FEMALE,Masters,transport-moving,polo,own-child,0,0
27,28,MALE,MD,protective-serv,camping,wife,0,0
206,42,MALE,High School,machine-op-inspct,yachting,unmarried,0,-74200
127,31,MALE,Associate,sales,reading,not-in-family,58200,0
422,60,FEMALE,MD,machine-op-inspct,hiking,own-child,43600,-67800
303,50,MALE,Masters,sales,camping,not-in-family,0,0
228,40,MALE,Associate,exec-managerial,base-jumping,husband,43700,0
239,39,FEMALE,JD,protective-serv,hiking,wife,44200,-37000
330,47,FEMALE,High School,craft-repair,chess,wife,0,-56400
128,35,FEMALE,MD,machine-op-inspct,kayaking,other-relative,0,0
147,37,FEMALE,Associate,prof-specialty,video-games,husband,0,-48400
287,45,MALE,Masters,transport-moving,golf,not-in-family,0,-54600
142,29,FEMALE,MD,craft-repair,dancing,husband,0,-48500
162,35,FEMALE,Masters,handlers-cleaners,bungie-jumping,husband,0,0
140,35,FEMALE,High School,craft-repair,chess,wife,0,-42900
106,28,MALE,High School,craft-repair,polo,own-child,0,0
292,45,MALE,Masters,craft-repair,dancing,unmarried,0,0
34,34,FEMALE,PhD,priv-house-serv,chess,husband,0,0
290,48,MALE,Associate,adm-clerical,video-games,not-in-family,45300,0
182,38,FEMALE,Masters,armed-forces,movies,husband,53800,-78300
362,55,FEMALE,JD,other-service,base-jumping,unmarried,44400,-71500
143,32,FEMALE,High School,exec-managerial,golf,husband,79900,0
183,38,FEMALE,Masters,prof-specialty,paintball,not-in-family,20200,0
254,40,MALE,College,armed-forces,bungie-jumping,wife,0,-74400
249,43,FEMALE,MD,adm-clerical,golf,not-in-family,0,-71200
169,36,MALE,High School,exec-managerial,yachting,unmarried,50700,-57600
235,40,MALE,College,craft-repair,bungie-jumping,husband,0,0
112,32,MALE,Associate,other-service,base-jumping,other-relative,57800,-53700
16,32,MALE,MD,tech-support,chess,not-in-family,50800,-66200
128,31,FEMALE,High School,transport-moving,cross-fit,other-relative,0,-28300
103,27,FEMALE,College,handlers-cleaners,board-games,husband,0,-74800
356,54,MALE,College,prof-specialty,yachting,wife,58500,-44000
109,29,FEMALE,High School,adm-clerical,movies,husband,0,0
2,20,FEMALE,High School,craft-repair,golf,other-relative,0,-54700
198,34,MALE,Associate,handlers-cleaners,kayaking,other-relative,0,-55100
107,32,MALE,Associate,machine-op-inspct,yachting,other-relative,82100,0
252,39,MALE,High School,transport-moving,cross-fit,other-relative,0,-33300
303,43,FEMALE,Associate,machine-op-inspct,camping,other-relative,42900,-61500
101,32,MALE,JD,sales,video-games,other-relative,52600,-30400
446,57,MALE,College,adm-clerical,sleeping,unmarried,42700,-64900
330,48,MALE,College,farming-fishing,skydiving,husband,0,0
211,37,FEMALE,PhD,armed-forces,skydiving,not-in-family,42200,-33800
172,33,FEMALE,High School,adm-clerical,reading,wife,41300,-42000
316,46,FEMALE,Masters,prof-specialty,paintball,wife,0,-51000
435,60,MALE,Associate,priv-house-serv,chess,other-relative,73500,-43300
344,51,FEMALE,Masters,sales,paintball,not-in-family,0,-38700
204,40,MALE,JD,machine-op-inspct,hiking,husband,0,-49300
278,47,MALE,Masters,machine-op-inspct,sleeping,not-in-family,0,-39800
434,57,MALE,JD,transport-moving,bungie-jumping,husband,0,0
209,36,FEMALE,MD,craft-repair,camping,wife,0,0
250,43,MALE,Masters,sales,exercise,other-relative,37800,0
61,25,FEMALE,Masters,other-service,dancing,not-in-family,0,0
80,28,FEMALE,College,farming-fishing,golf,wife,0,-18600
25,38,MALE,College,adm-clerical,polo,wife,40900,0
4,29,MALE,High School,tech-support,exercise,other-relative,0,-77800
32,29,MALE,MD,adm-clerical,sleeping,own-child,0,-45700
125,31,MALE,JD,other-service,paintball,husband,55400,-40400
276,45,FEMALE,High School,machine-op-inspct,reading,wife,44500,-61400
148,30,FEMALE,Masters,farming-fishing,camping,own-child,57500,-93600
222,38,MALE,MD,machine-op-inspct,hiking,not-in-family,0,-64500
32,38,MALE,Associate,armed-forces,polo,unmarried,0,0
78,27,MALE,JD,other-service,skydiving,other-relative,0,-66500
238,43,MALE,High School,handlers-cleaners,chess,wife,0,-44800
313,47,MALE,College,prof-specialty,reading,wife,63900,-53300
334,50,MALE,Masters,priv-house-serv,polo,wife,26700,-47200
190,35,FEMALE,High School,tech-support,golf,husband,0,0
194,41,MALE,JD,transport-moving,video-games,not-in-family,52500,-51300
290,47,MALE,High School,exec-managerial,bungie-jumping,other-relative,0,-61400
26,42,MALE,PhD,armed-forces,sleeping,not-in-family,50700,-36300
254,41,FEMALE,PhD,handlers-cleaners,skydiving,own-child,42200,-48000
199,38,FEMALE,High School,tech-support,movies,other-relative,0,-53100
137,35,MALE,JD,prof-specialty,paintball,husband,48500,-67400
134,36,MALE,PhD,machine-op-inspct,kayaking,husband,14100,-44500
73,30,FEMALE,High School,protective-serv,reading,husband,0,0
289,45,FEMALE,Masters,farming-fishing,movies,wife,46700,-72500
176,36,MALE,College,transport-moving,kayaking,unmarried,32800,-50600
145,37,FEMALE,Associate,tech-support,sleeping,unmarried,0,-35900
164,31,FEMALE,Associate,other-service,reading,husband,44500,-55900
186,38,FEMALE,Masters,transport-moving,video-games,husband,39300,-60300
85,31,FEMALE,MD,tech-support,paintball,husband,0,0
162,33,FEMALE,Associate,exec-managerial,base-jumping,other-relative,45700,0
396,57,MALE,High School,tech-support,camping,wife,0,-49400
270,41,MALE,High School,sales,cross-fit,unmarried,62200,0
168,39,FEMALE,Masters,machine-op-inspct,exercise,own-child,0,-42600
274,45,FEMALE,JD,tech-support,cross-fit,unmarried,54700,-47900
263,43,FEMALE,Masters,handlers-cleaners,movies,not-in-family,0,0
152,33,FEMALE,High School,farming-fishing,chess,husband,0,0
46,41,FEMALE,MD,priv-house-serv,video-games,husband,43700,-66300
276,46,MALE,College,handlers-cleaners,chess,husband,0,-70400
234,44,MALE,Associate,other-service,exercise,other-relative,0,0
64,30,MALE,JD,protective-serv,base-jumping,own-child,0,-51100
456,62,FEMALE,MD,protective-serv,chess,own-child,82600,-49500
58,23,MALE,High School,transport-moving,reading,own-child,57500,0
475,61,FEMALE,Masters,handlers-cleaners,paintball,wife,0,-59500
96,29,MALE,College,prof-specialty,hiking,other-relative,47500,-58700
99,28,MALE,MD,prof-specialty,basketball,wife,0,0
38,28,MALE,Masters,priv-house-serv,golf,other-relative,78000,0
259,44,FEMALE,Masters,exec-managerial,exercise,husband,0,0
241,43,MALE,Associate,prof-specialty,golf,own-child,0,-36000
437,58,MALE,Associate,craft-repair,dancing,own-child,66100,-31400
130,34,MALE,Masters,sales,kayaking,other-relative,0,-41200
269,41,FEMALE,Associate,handlers-cleaners,polo,unmarried,0,-46400
103,29,MALE,Associate,prof-specialty,base-jumping,other-relative,72100,0
284,43,MALE,PhD,prof-specialty,kayaking,other-relative,48200,0
189,39,FEMALE,College,tech-support,movies,own-child,0,0
267,43,MALE,PhD,adm-clerical,sleeping,unmarried,49000,0
39,22,MALE,JD,farming-fishing,polo,not-in-family,0,0
140,32,FEMALE,College,protective-serv,cross-fit,other-relative,0,0
243,41,FEMALE,College,farming-fishing,camping,own-child,17300,-60400
116,31,FEMALE,MD,prof-specialty,camping,husband,28600,0
219,43,FEMALE,High School,transport-moving,polo,other-relative,51300,0
96,26,FEMALE,Associate,prof-specialty,bungie-jumping,husband,10000,0
149,34,FEMALE,PhD,craft-repair,skydiving,wife,0,-60000
246,43,MALE,JD,adm-clerical,basketball,husband,0,0
293,45,FEMALE,MD,exec-managerial,exercise,unmarried,51500,0
339,48,MALE,JD,other-service,dancing,unmarried,0,0
160,33,FEMALE,High School,exec-managerial,exercise,husband,61600,0
224,42,FEMALE,College,prof-specialty,kayaking,own-child,0,-51400
194,34,MALE,Associate,sales,camping,not-in-family,55300,-37900
385,51,FEMALE,MD,craft-repair,reading,husband,0,-61000
100,33,MALE,College,adm-clerical,golf,not-in-family,67300,0
371,50,MALE,PhD,machine-op-inspct,board-games,not-in-family,79600,0
175,39,MALE,PhD,exec-managerial,hiking,husband,0,-43600
373,55,MALE,MD,sales,yachting,own-child,0,0
258,41,MALE,Masters,exec-managerial,reading,unmarried,0,-44400
255,39,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,38200,0
37,31,FEMALE,MD,sales,skydiving,own-child,0,0
322,44,FEMALE,College,machine-op-inspct,cross-fit,husband,49900,-62700
204,38,FEMALE,MD,tech-support,kayaking,wife,0,-45100
76,31,FEMALE,Associate,priv-house-serv,movies,not-in-family,39900,-44000
193,40,FEMALE,PhD,handlers-cleaners,movies,not-in-family,34200,-32300
405,55,MALE,PhD,machine-op-inspct,golf,unmarried,57100,0
435,58,MALE,JD,sales,movies,not-in-family,0,-40000
54,35,FEMALE,MD,protective-serv,hiking,unmarried,68500,-42100
144,35,MALE,High School,machine-op-inspct,cross-fit,wife,0,0
92,32,MALE,Masters,prof-specialty,yachting,husband,58900,-29100
173,36,MALE,College,machine-op-inspct,basketball,unmarried,51000,0
436,60,MALE,High School,prof-specialty,bungie-jumping,wife,67600,-65300
155,35,FEMALE,Associate,protective-serv,hiking,not-in-family,83600,0
78,31,FEMALE,Masters,armed-forces,kayaking,unmarried,72600,0
440,57,MALE,College,protective-serv,paintball,wife,51500,-52100
264,43,MALE,PhD,craft-repair,basketball,wife,0,0
66,30,FEMALE,College,adm-clerical,paintball,wife,21100,-60800
366,50,FEMALE,High School,handlers-cleaners,basketball,husband,21200,0
188,37,FEMALE,JD,adm-clerical,hiking,own-child,46300,0
224,39,FEMALE,JD,prof-specialty,sleeping,other-relative,0,-47100
253,46,FEMALE,MD,transport-moving,movies,husband,52900,0
446,61,FEMALE,High School,adm-clerical,reading,unmarried,49900,-62100
169,37,MALE,JD,armed-forces,movies,other-relative,70600,-48500
255,46,FEMALE,JD,prof-specialty,video-games,own-child,0,-52600
209,39,MALE,PhD,transport-moving,polo,husband,67800,0
210,37,FEMALE,MD,tech-support,hiking,own-child,38700,-33100
174,33,FEMALE,College,farming-fishing,paintball,own-child,0,0
70,28,MALE,High School,machine-op-inspct,yachting,husband,67200,-59400
89,32,FEMALE,MD,tech-support,kayaking,not-in-family,49100,-45100
458,61,FEMALE,High School,protective-serv,bungie-jumping,other-relative,53000,0
239,40,FEMALE,JD,sales,skydiving,own-child,0,0
161,38,MALE,PhD,priv-house-serv,exercise,not-in-family,60200,0
446,61,FEMALE,High School,tech-support,skydiving,wife,0,-15700
476,61,FEMALE,Masters,handlers-cleaners,dancing,not-in-family,42800,-68200
70,29,FEMALE,MD,armed-forces,video-games,other-relative,62400,-52300
233,41,FEMALE,Associate,tech-support,board-games,other-relative,67100,0
122,33,MALE,PhD,other-service,bungie-jumping,husband,0,-48700
335,48,FEMALE,MD,machine-op-inspct,chess,wife,59900,-34800
257,40,MALE,Associate,machine-op-inspct,cross-fit,husband,46100,-46900
85,27,MALE,College,priv-house-serv,dancing,unmarried,50400,-61500
133,30,MALE,College,adm-clerical,board-games,husband,0,-31700
119,34,FEMALE,College,tech-support,hiking,wife,57100,0
169,34,FEMALE,JD,sales,reading,not-in-family,0,-57600
225,39,MALE,Masters,tech-support,paintball,other-relative,83900,-52100
84,32,FEMALE,Associate,prof-specialty,cross-fit,husband,0,0
169,39,MALE,High School,armed-forces,exercise,husband,0,-36800
124,32,FEMALE,Masters,farming-fishing,kayaking,wife,29300,0
320,48,MALE,College,transport-moving,hiking,not-in-family,46300,-41700
297,47,MALE,MD,adm-clerical,movies,unmarried,0,-59500
421,56,MALE,Masters,machine-op-inspct,reading,own-child,49500,-81100
136,33,FEMALE,PhD,craft-repair,paintball,not-in-family,37900,0
46,24,FEMALE,High School,armed-forces,yachting,unmarried,46800,0
34,24,FEMALE,MD,armed-forces,dancing,own-child,0,-27700
95,30,MALE,College,transport-moving,video-games,unmarried,48900,0
140,36,FEMALE,JD,armed-forces,kayaking,not-in-family,43200,0
200,34,FEMALE,College,prof-specialty,basketball,other-relative,0,0
123,29,FEMALE,Masters,machine-op-inspct,chess,not-in-family,64800,-44200
267,46,MALE,MD,craft-repair,base-jumping,unmarried,35000,0
290,42,MALE,Masters,machine-op-inspct,kayaking,own-child,32500,0
45,37,MALE,College,prof-specialty,dancing,wife,0,0
186,38,FEMALE,JD,protective-serv,dancing,unmarried,80900,-111100
135,34,FEMALE,JD,protective-serv,base-jumping,other-relative,0,-69600
110,33,MALE,Associate,other-service,bungie-jumping,husband,0,0
259,43,FEMALE,PhD,handlers-cleaners,kayaking,own-child,0,-58300
114,30,FEMALE,Masters,protective-serv,dancing,husband,0,-34700
404,56,FEMALE,Masters,transport-moving,cross-fit,not-in-family,0,-63700
282,48,FEMALE,MD,prof-specialty,video-games,husband,26900,-55300
57,25,FEMALE,Masters,tech-support,dancing,own-child,63100,-54100
215,38,FEMALE,PhD,craft-repair,camping,unmarried,0,0
140,30,FEMALE,College,adm-clerical,bungie-jumping,wife,100500,0
250,42,MALE,High School,exec-managerial,paintball,husband,69500,-40700
286,41,MALE,College,prof-specialty,paintball,wife,25800,0
356,47,MALE,High School,prof-specialty,camping,husband,0,0
65,29,MALE,High School,other-service,basketball,own-child,0,0
187,34,FEMALE,PhD,machine-op-inspct,polo,not-in-family,59500,0
386,53,MALE,JD,craft-repair,camping,not-in-family,36800,0
197,41,FEMALE,PhD,prof-specialty,basketball,not-in-family,0,-64500
166,37,FEMALE,MD,craft-repair,kayaking,not-in-family,0,0
293,49,FEMALE,JD,transport-moving,skydiving,husband,34900,0
179,32,FEMALE,PhD,priv-house-serv,movies,own-child,0,0
76,24,FEMALE,MD,priv-house-serv,paintball,husband,0,0
105,28,FEMALE,Associate,prof-specialty,golf,own-child,0,0
97,26,MALE,Masters,protective-serv,chess,unmarried,0,-72100
148,36,FEMALE,MD,adm-clerical,hiking,own-child,55100,0
77,26,MALE,JD,exec-managerial,movies,other-relative,49700,0
295,46,FEMALE,JD,prof-specialty,paintball,own-child,52200,-44500
126,28,FEMALE,JD,machine-op-inspct,skydiving,other-relative,0,0
132,32,MALE,PhD,other-service,reading,wife,43100,-31900
370,55,MALE,JD,other-service,basketball,wife,0,-53200
257,43,FEMALE,JD,transport-moving,kayaking,other-relative,52100,0
9,24,FEMALE,PhD,machine-op-inspct,golf,other-relative,51700,-33300
185,34,FEMALE,PhD,armed-forces,movies,husband,0,0
234,43,MALE,Associate,protective-serv,reading,own-child,0,-48800
253,44,FEMALE,High School,farming-fishing,golf,own-child,45800,0
233,39,MALE,JD,craft-repair,reading,unmarried,0,0
274,44,FEMALE,JD,tech-support,reading,husband,0,0
297,48,MALE,Masters,protective-serv,camping,wife,0,-71400
273,47,FEMALE,Associate,prof-specialty,video-games,own-child,59600,0
147,37,FEMALE,Masters,armed-forces,chess,own-child,0,0
