vehicle_id,policy_number,auto_make,auto_model,auto_year
809,824116,Audi,A3,2009
810,322613,Saab,93,2015
811,871305,Ford,Fusion,2012
812,488037,Chevrolet,Malibu,2013
813,485813,Accura,MDX,2005
814,886473,Accura,MDX,2013
815,907113,Nissan,Maxima,2010
816,833321,Volkswagen,Passat,2008
817,521592,Nissan,Pathfinder,2006
818,254837,Ford,Fusion,2009
819,634499,Chevrolet,Malibu,2009
820,574707,Dodge,RAM,2009
821,476839,Audi,A5,1999
822,149601,Nissan,Pathfinder,2011
823,630683,Honda,Civic,2006
824,500639,Volkswagen,Jetta,1997
825,352120,Ford,F150,2001
826,569245,Volkswagen,Passat,2002
827,907012,Suburu,Impreza,2006
828,700074,Suburu,Forrestor,1997
829,866805,Audi,A5,1995
830,951863,Jeep,Wrangler,2006
831,211578,Dodge,Neon,2009
832,357394,Audi,A5,2009
833,863749,Nissan,Pathfinder,2007
834,596914,Ford,F150,2011
835,684653,Suburu,Legacy,2005
836,528259,Mercedes,ML350,2015
837,797636,Nissan,Pathfinder,2006
838,326180,Audi,A5,2001
839,620075,BMW,M5,2000
840,965187,Dodge,Neon,2011
841,516182,Chevrolet,Malibu,1998
842,728839,Saab,95,1999
843,771509,BMW,X5,2000
844,264221,Toyota,Corolla,2002
845,602704,Jeep,Wrangler,2014
846,672416,Ford,Fusion,2015
847,545506,Toyota,Corolla,2005
848,777533,Jeep,Wrangler,2010
849,953334,Volkswagen,Jetta,2004
850,369781,Saab,93,2001
851,990998,Accura,RSX,2014
852,982678,Audi,A5,2007
853,646069,Mercedes,ML350,2000
854,331683,Nissan,Pathfinder,1996
855,364055,Saab,95,2008
856,521854,Audi,A3,2015
857,737252,Suburu,Impreza,2012
858,344480,Toyota,Camry,2005
859,898519,Nissan,Pathfinder,2000
860,957816,Suburu,Legacy,2005
861,175960,Accura,MDX,1999
862,489618,Nissan,Pathfinder,2006
863,717044,Suburu,Impreza,2009
864,101421,Jeep,Wrangler,1996
865,793948,Toyota,Camry,2000
866,737483,Dodge,RAM,2003
867,695117,Accura,TL,2014
868,167466,Dodge,RAM,2008
869,664732,Suburu,Forrestor,1999
870,143038,Ford,F150,2000
871,979963,Honda,CRV,2011
872,467841,Jeep,Wrangler,2013
873,219028,Ford,F150,2001
874,130156,Chevrolet,Malibu,2007
875,762951,Mercedes,ML350,1995
876,376879,Jeep,Wrangler,2002
877,599031,Saab,93,2000
878,676255,Saab,93,2008
879,985446,Chevrolet,Silverado,2015
880,884180,Mercedes,E400,2002
881,571462,Dodge,RAM,2000
882,815883,BMW,X5,1998
883,258265,BMW,3 Series,2011
884,569714,Audi,A5,2005
885,180008,BMW,M5,1998
886,633375,BMW,3 Series,2004
887,556538,Audi,A3,2002
888,669501,Honda,Civic,2002
889,963761,Accura,TL,2011
890,753005,Volkswagen,Jetta,2007
891,454758,Suburu,Legacy,2012
892,698589,Saab,95,2006
893,330119,Jeep,Wrangler,2001
894,164464,Dodge,Neon,2011
895,927354,Suburu,Impreza,2000
896,231508,Saab,92x,1998
897,272910,Saab,92x,2008
898,305758,Jeep,Wrangler,2010
899,950542,Chevrolet,Malibu,1998
900,291544,Saab,92x,1998
901,388616,Mercedes,C300,2000
902,577992,Nissan,Pathfinder,1998
903,342830,Honda,Accord,1997
904,491170,Volkswagen,Jetta,1996
905,175553,Saab,95,2014
906,439341,Chevrolet,Silverado,2002
907,221186,BMW,X5,2011
908,868031,Saab,92x,2005
909,844117,Honda,Civic,2010
910,744557,Jeep,Wrangler,2010
911,159536,Nissan,Pathfinder,2012
912,727109,Jeep,Wrangler,2001
913,155604,Accura,RSX,2006
914,608443,Honda,CRV,2011
915,117862,Honda,Accord,1998
916,991553,Mercedes,C300,1997
917,727443,Honda,Civic,1999
918,378587,Mercedes,C300,2009
919,420948,Toyota,Corolla,1998
920,457188,Dodge,RAM,1995
921,118236,Accura,MDX,2000
922,987524,BMW,M5,2011
923,490596,Nissan,Ultima,1998
924,524215,Accura,RSX,2007
925,913464,Honda,Accord,2003
926,398484,Jeep,Wrangler,2010
927,752504,BMW,X6,2005
928,449263,Dodge,RAM,2008
929,844007,Audi,A5,1998
930,686522,Toyota,Camry,2008
931,670142,Saab,93,1996
932,607687,Nissan,Ultima,2000
933,967713,Honda,Civic,1996
934,291902,Dodge,Neon,2008
935,149839,Toyota,Highlander,2010
936,840225,Toyota,Highlander,2005
937,643226,Honda,CRV,2003
938,535879,Jeep,Grand Cherokee,1995
939,746630,Toyota,Corolla,2013
940,598308,Dodge,RAM,2011
941,720356,Suburu,Impreza,2002
942,724752,Volkswagen,Passat,1998
943,148498,Volkswagen,Passat,1998
944,110122,Audi,A3,2015
945,281388,Jeep,Grand Cherokee,2005
946,728600,Suburu,Forrestor,1997
947,231548,Audi,A5,1997
948,531160,Suburu,Legacy,2015
949,889003,Suburu,Forrestor,2011
950,193213,Ford,Escape,2010
951,557218,Toyota,Camry,2001
952,125591,Nissan,Maxima,2000
953,227244,Audi,A3,2014
954,791425,Volkswagen,Jetta,2012
955,354455,Honda,CRV,2004
956,601042,Nissan,Maxima,2013
957,433663,Toyota,Camry,2003
958,471938,Chevrolet,Silverado,1995
959,564654,Dodge,RAM,1995
960,645723,Saab,92x,2008
961,573572,Toyota,Camry,2005
962,437960,Accura,MDX,2012
963,649800,Chevrolet,Silverado,2013
964,544225,BMW,3 Series,2006
965,390256,Volkswagen,Jetta,2008
966,488597,BMW,3 Series,1995
967,133889,Jeep,Grand Cherokee,1998
968,931901,Nissan,Ultima,2014
969,769475,Accura,MDX,2003
970,844062,Accura,MDX,2012
971,844129,Ford,Escape,2007
972,732169,Mercedes,C300,1995
973,221854,Jeep,Grand Cherokee,2002
974,776950,Suburu,Impreza,1996
975,291006,Chevrolet,Tahoe,2007
976,845751,Ford,Escape,2008
977,889764,Accura,RSX,2002
978,929306,Suburu,Impreza,2015
979,515457,Dodge,Neon,1999
980,556270,Saab,95,2004
981,908935,Suburu,Forrestor,1999
982,525862,Dodge,Neon,2008
983,490514,BMW,M5,2011
984,774895,Suburu,Legacy,2002
985,974522,Toyota,Corolla,2013
986,669809,Jeep,Wrangler,1995
987,182953,Toyota,Highlander,2015
988,836349,Chevrolet,Tahoe,2012
989,591269,Honda,Civic,1997
990,550127,Chevrolet,Malibu,2015
991,663190,Jeep,Grand Cherokee,2013
992,109392,Accura,TL,2002
993,215278,Nissan,Pathfinder,2010
994,674570,Volkswagen,Passat,2012
995,681486,Honda,Civic,1996
996,941851,Honda,Accord,2006
997,186934,Volkswagen,Passat,2015
998,918516,Suburu,Impreza,1996
999,533940,Audi,A5,1998
1000,556080,Mercedes,E400,2007
