policy_number,insured_id,months_as_customer,policy_bind_date,policy_state,policy_csl,policy_deductible,policy_annual_premium,umbrella_limit
312940,444,120,2001-10-27,IN,500/1000,1000,1056.71,0
855186,445,144,1993-10-31,IN,500/1000,2000,1255.68,6000000
373935,446,414,2003-02-13,IN,500/1000,500,1335.13,0
812989,447,163,2004-03-06,IN,250/500,500,1178.95,6000000
993840,448,352,2013-07-12,IL,250/500,500,1793.16,0
327856,449,27,2014-08-27,OH,100/300,500,1008.38,0
506333,450,239,1990-06-22,IL,100/300,500,1396.83,0
263159,451,33,2008-03-07,OH,100/300,500,1402.78,5000000
372912,452,88,1992-08-05,IN,100/300,1000,1437.88,0
552788,453,101,1991-09-03,IL,500/1000,1000,1313.64,0
722747,454,20,2011-09-02,IL,250/500,500,1482.14,0
248467,455,126,2012-10-06,IL,250/500,2000,1171.75,0
955953,456,264,2014-01-18,IL,500/1000,2000,1353.33,0
910622,457,78,1992-03-22,IN,100/300,500,1175.51,0
137675,458,123,2012-12-03,IL,100/300,2000,1836.02,0
343421,459,347,1996-10-18,OH,500/1000,500,1480.79,9000000
413192,460,163,1997-10-02,IN,500/1000,2000,1453.92,0
247801,461,271,2008-03-18,OH,250/500,500,1340.71,0
171147,462,410,2010-08-29,IL,100/300,2000,714.03,0
431283,463,448,2005-03-31,IL,100/300,2000,1376.16,0
461962,464,218,2013-12-25,IL,100/300,500,914.22,0
149467,465,43,2014-03-11,OH,500/1000,1000,1601.47,0
758740,466,33,1997-08-04,IL,500/1000,1000,1096.79,6000000
628337,467,126,2007-11-14,IN,100/300,2000,1078.22,0
574637,468,411,1992-07-30,IL,250/500,1000,1595.28,0
373600,469,225,2000-12-01,OH,100/300,1000,1217.84,5000000
930032,470,35,2002-09-10,IL,100/300,2000,1117.42,0
396590,471,460,1997-11-07,OH,100/300,2000,1567.37,0
238412,472,195,1993-05-18,IL,500/1000,2000,1294.93,6000000
484321,473,360,1996-07-11,IL,250/500,1000,1152.12,0
795847,474,300,1995-12-17,IL,100/300,1000,1441.21,0
218456,475,245,2002-07-16,IL,500/1000,1000,1575.74,7000000
792673,476,146,2013-04-12,OH,500/1000,2000,1233.96,0
662256,477,67,1995-11-13,IL,250/500,1000,1861.43,0
971338,478,380,2004-11-04,OH,100/300,1000,1570.86,0
714738,479,389,1998-03-21,IL,500/1000,2000,791.47,0
753844,480,317,1999-07-22,IN,250/500,1000,1012.78,0
976645,481,264,2010-02-28,IL,100/300,500,1047.06,6000000
918037,482,20,2005-01-30,OH,250/500,1000,1390.29,0
996253,483,116,2001-11-29,IN,500/1000,500,951.46,0
373731,484,222,2012-12-24,IL,100/300,1000,1226.78,0
836272,485,439,1997-05-11,OH,100/300,500,1280.9,0
167231,486,66,1994-01-26,IN,100/300,2000,1472.77,0
743330,487,128,2010-11-04,OH,500/1000,1000,1878.44,0
807369,488,69,1992-06-19,IN,500/1000,500,1418.5,0
735307,489,294,2010-06-02,IL,100/300,500,1532.8,0
789208,490,19,2002-10-12,OH,250/500,500,1304.35,0
585324,491,191,2008-02-25,OH,500/1000,2000,1551.61,0
498759,492,4,1996-09-05,IL,100/300,1000,1326.98,6000000
795004,493,298,1998-03-16,OH,250/500,500,862.92,0
203250,494,231,2010-04-22,IN,100/300,2000,1331.69,0
430794,495,338,2008-01-25,OH,250/500,2000,1486.04,0
156636,496,261,2000-09-10,IN,100/300,1000,870.55,0
284143,497,321,2008-04-23,IL,500/1000,2000,1344.56,6000000
740518,498,0,2011-02-18,OH,500/1000,1000,1377.04,0
445289,499,405,2012-04-24,IL,250/500,500,1237.88,0
599262,500,304,2001-09-25,IN,100/300,1000,1525.86,0
357949,501,1,2006-05-24,OH,500/1000,500,854.58,0
493161,502,26,1992-01-30,IN,250/500,1000,770.76,0
320251,503,202,2009-01-24,IL,100/300,2000,1132.74,0
231127,504,289,1995-08-29,IL,500/1000,500,1173.37,8000000
766193,505,61,2011-07-31,OH,100/300,2000,1188.28,6000000
555374,506,334,2013-01-05,IL,100/300,1000,876.88,6000000
491484,507,12,1994-11-18,IL,500/1000,1000,1143.95,0
925128,508,86,2014-08-30,IL,100/300,2000,1409.06,0
265093,509,83,2006-01-01,IN,500/1000,1000,1070.63,0
267808,510,126,1998-09-10,IL,500/1000,2000,916.13,0
116735,511,209,2010-01-28,OH,250/500,500,1191.5,0
963680,512,283,2003-01-04,OH,500/1000,1000,1474.66,0
445694,513,194,2004-05-24,IL,250/500,1000,1193.45,0
215534,514,184,1994-09-12,IL,250/500,1000,1437.53,0
232854,515,479,1997-07-07,IL,100/300,2000,1304.83,0
168260,516,284,1991-03-01,OH,250/500,1000,1168.8,0
538955,517,65,2001-09-29,IN,100/300,1000,1164.97,0
243226,518,222,2012-01-10,IL,250/500,1000,1232.72,0
246435,519,196,2001-07-05,IL,250/500,2000,1800.76,0
582480,520,253,1991-08-07,IL,500/1000,500,1187.01,7000000
345539,521,280,2012-07-24,IN,100/300,1000,1559.34,0
924318,522,5,2014-07-27,IL,250/500,2000,1137.02,0
726880,523,220,1994-08-08,IN,100/300,1000,1281.72,0
190588,524,85,2001-12-09,OH,100/300,1000,796.35,0
246705,525,266,1990-03-14,OH,250/500,500,1270.02,0
619589,526,41,2006-03-28,IL,100/300,1000,1383.13,0
164988,527,316,2013-12-23,IL,100/300,2000,1290.74,5000000
729534,528,285,1991-09-30,IN,100/300,1000,1216.68,0
505014,529,379,2001-12-27,IL,100/300,500,1251.16,0
920826,530,15,2005-04-07,IN,250/500,2000,1586.41,0
534982,531,354,2003-04-08,IL,500/1000,2000,1526.11,5000000
110408,532,342,2005-11-14,IN,100/300,1000,1028.44,0
283052,533,169,2005-01-07,IL,100/300,1000,1555.94,0
840806,534,339,1994-02-14,IN,500/1000,2000,1570.77,0
382394,535,259,1996-01-23,OH,100/300,2000,1170.53,0
876699,536,65,1999-12-12,OH,250/500,1000,1099.95,0
871432,537,254,2004-07-15,IL,250/500,2000,1472.43,0
379882,538,440,2012-11-07,IL,250/500,500,1275.62,0
852002,539,478,2009-06-29,IL,250/500,1000,1292.3,0
372891,540,230,2000-06-26,IN,250/500,2000,1009.37,0
689034,541,138,2002-01-09,OH,500/1000,500,1093.07,4000000
743092,542,239,2013-11-11,OH,250/500,1000,1325.44,7000000
599174,543,93,2008-01-14,IL,100/300,2000,1017.18,0
421092,544,37,2003-03-04,OH,100/300,1000,1221.17,0
349658,545,254,1994-06-07,IN,100/300,500,1927.87,0
811042,546,131,2013-07-04,IN,250/500,1000,978.27,0
505316,547,230,2002-06-30,IN,100/300,2000,1221.14,0
116645,548,313,2004-06-30,OH,100/300,2000,1255.62,0
950880,549,210,1998-12-19,IN,250/500,500,999.52,0
788502,550,101,2014-08-31,OH,250/500,500,1380.89,0
627486,551,153,2005-11-10,IN,500/1000,500,1010.77,0
498842,552,337,2000-05-04,OH,100/300,500,1205.86,0
550294,553,360,2001-11-26,IL,500/1000,1000,1526.61,0
328387,554,428,2014-05-06,IL,100/300,1000,1496.44,0
540152,555,204,1991-01-27,IL,100/300,500,1256.2,0
385932,556,364,1992-04-28,IL,100/300,500,1268.35,0
618682,557,185,2000-03-04,IN,500/1000,2000,1421.59,0
550930,558,63,1995-10-12,IL,500/1000,500,1500.04,6000000
998192,559,210,2014-04-25,IL,100/300,500,1433.24,0
663938,560,194,2011-01-26,IN,100/300,2000,1231.25,0
756870,561,294,1996-01-26,IN,500/1000,500,1135.43,0
337158,562,272,1991-04-08,OH,250/500,2000,945.73,5000000
919875,563,27,2002-06-29,IN,100/300,2000,1118.76,0
315631,564,251,1999-04-09,IN,500/1000,2000,1231.98,0
113464,565,180,2009-04-19,IN,500/1000,2000,1005.47,0
556415,566,392,1991-08-22,OH,100/300,2000,1108.97,0
250249,567,143,1991-11-28,IN,100/300,500,1392.39,5000000
403776,568,371,2012-04-27,IN,100/300,2000,1317.97,0
396002,569,292,2007-03-04,IN,250/500,1000,1588.22,0
976908,570,165,2012-12-31,IL,250/500,500,900.02,6000000
509489,571,158,2013-12-21,OH,100/300,1000,1744.64,3000000
485295,572,241,2005-04-28,OH,250/500,1000,1260.56,0
361829,573,103,1994-09-17,OH,500/1000,2000,1021.14,0
603632,574,402,2003-08-16,OH,250/500,2000,1285.09,0
783494,575,102,2014-09-02,OH,100/300,500,1537.07,3000000
439049,576,182,2011-12-12,IN,100/300,1000,1022.42,0
502634,577,282,1991-08-17,OH,100/300,2000,1558.86,0
378588,578,222,2004-02-29,OH,500/1000,500,1757.87,0
794731,579,415,2015-02-22,IN,250/500,1000,973.5,0
641934,580,51,2013-12-25,OH,500/1000,500,1430.8,0
113516,581,255,1990-10-13,IL,500/1000,500,1192.27,0
425631,582,143,2014-07-05,IL,250/500,500,1163.83,0
542245,583,130,1991-11-25,OH,500/1000,1000,1003.15,0
512894,584,242,1990-10-02,OH,250/500,2000,1153.54,6000000
633090,585,96,2009-02-17,IL,100/300,1000,1631.1,0
464234,586,180,2005-07-17,IL,500/1000,1000,1252.48,0
290162,587,150,1994-03-12,IN,100/300,1000,1677.26,0
638155,588,463,1994-08-03,IL,250/500,1000,979.73,0
911429,589,472,2012-08-25,IN,250/500,500,989.24,0
106186,590,75,2011-12-02,IL,500/1000,1000,1389.86,0
311783,591,193,2005-02-25,OH,100/300,500,1233.85,0
528385,592,43,1997-11-07,IL,500/1000,500,1320.39,0
228403,593,253,2004-04-20,IN,100/300,1000,1435.09,0
209177,594,152,2009-11-17,IN,500/1000,500,1448.54,0
497929,595,160,2009-09-19,OH,250/500,500,1733.56,0
735844,596,56,2009-11-08,IN,100/300,500,1533.07,0
710741,597,286,2001-09-12,IL,100/300,500,1106.77,0
276804,598,3,1992-11-27,IL,100/300,500,995.7,5000000
507545,599,286,1998-12-07,IL,250/500,1000,1298.85,6000000
485642,600,239,1990-08-25,OH,250/500,1000,1276.73,5000000
796375,601,64,2011-10-22,OH,250/500,2000,1202.28,0
171183,602,98,1990-02-01,IN,100/300,500,671.92,0
110084,603,16,1990-11-27,IL,250/500,1000,1358.03,0
714784,604,70,2004-07-16,IN,250/500,1000,1008.79,4000000
143924,605,75,1993-12-10,OH,100/300,1000,1141.1,0
996850,606,246,1995-03-08,OH,100/300,1000,1397.0,0
284834,607,110,2009-08-03,OH,500/1000,1000,1664.66,0
830878,608,236,1996-11-03,IN,250/500,1000,1151.39,4000000
270208,609,267,2004-08-09,OH,100/300,2000,1546.01,0
407958,610,463,1991-07-20,IL,250/500,500,1063.67,0
832300,611,303,2005-01-14,IN,100/300,1000,709.14,0
927205,612,137,2011-12-16,IL,250/500,500,1039.55,0
655356,613,56,1996-07-07,IL,250/500,500,1339.39,0
831053,614,75,1992-08-05,IN,250/500,1000,1202.75,0
432740,615,131,1990-10-09,IL,100/300,2000,1081.17,0
893853,616,153,1994-02-27,IL,250/500,500,991.39,0
594988,617,255,2007-05-06,IN,500/1000,500,984.02,0
979544,618,103,2014-04-21,IL,100/300,500,1354.83,0
191891,619,97,2010-02-11,OH,100/300,1000,830.31,0
831479,620,214,2000-06-04,IL,100/300,2000,987.42,7000000
714346,621,438,1991-10-05,OH,500/1000,500,1119.29,0
326289,622,87,2004-01-03,OH,100/300,500,1048.39,0
944537,623,27,1992-07-23,OH,500/1000,1000,1074.47,0
779156,624,206,1993-10-10,IL,500/1000,1000,1230.76,0
856153,625,127,2002-07-09,OH,500/1000,500,1255.02,0
473338,626,422,2010-11-14,IN,100/300,1000,1555.52,0
521694,627,303,1997-03-03,IL,100/300,2000,836.11,5000000
136520,628,228,1997-03-01,IN,100/300,500,1450.98,0
730819,629,239,1990-08-18,IN,250/500,2000,625.08,0
912665,630,330,2014-05-28,IL,100/300,2000,1133.27,0
469966,631,128,2004-07-22,IN,500/1000,500,1366.6,0
952300,632,147,2009-08-02,OH,500/1000,1000,1439.9,6000000
322609,633,287,2007-07-05,OH,500/1000,1000,1230.69,0
890280,634,142,2010-01-24,OH,100/300,2000,1307.68,0
431583,635,162,2000-05-15,IL,500/1000,2000,1124.69,0
155912,636,140,2008-03-21,OH,100/300,1000,1520.78,0
110143,637,106,1990-05-07,OH,100/300,2000,1609.11,0
808544,638,292,1991-02-05,IL,500/1000,1000,1358.91,0
409074,639,34,1992-03-19,OH,500/1000,500,1295.87,0
824728,640,290,2013-04-24,IL,250/500,500,1161.03,5000000
606037,641,182,2009-04-10,OH,500/1000,2000,1441.06,0
636843,642,362,2008-12-01,OH,100/300,1000,1097.99,0
111874,643,143,2000-07-05,IL,500/1000,1000,1464.42,0
439844,644,183,2014-06-11,IL,250/500,500,1543.68,0
463513,645,254,1995-04-23,IL,250/500,500,1390.89,5000000
577858,646,249,1990-09-16,OH,100/300,2000,1148.58,0
607351,647,169,1998-12-11,IN,250/500,500,1616.26,0
682754,648,235,1995-10-09,IL,500/1000,500,1398.94,0
757352,649,112,1999-12-21,OH,500/1000,1000,1238.92,0
307469,650,16,2002-07-28,IL,100/300,1000,968.46,0
526296,651,128,1993-08-03,IL,100/300,500,1045.12,0
658816,652,103,2007-12-16,IN,100/300,1000,1537.33,0
913337,653,356,2008-02-10,OH,500/1000,500,912.3,0
488464,654,109,2006-10-01,OH,100/300,2000,1007.28,6000000
480094,655,2,2003-03-09,IN,500/1000,1000,1189.98,4000000
263108,656,198,2003-05-29,OH,250/500,1000,1576.41,0
298412,657,107,2002-05-06,OH,100/300,500,1172.82,4000000
261905,658,252,2004-02-28,IL,500/1000,500,1312.22,9000000
674485,659,303,1999-01-14,OH,500/1000,1000,671.01,7000000
223404,660,101,2002-01-23,IL,250/500,500,895.14,0
991480,661,446,1992-12-09,IN,100/300,2000,1373.21,0
804219,662,330,1998-06-24,OH,250/500,1000,1625.65,0
483088,663,211,2011-01-06,OH,250/500,2000,1295.63,4000000
100804,664,172,2012-02-24,IL,100/300,1000,1459.96,6000000
941807,665,316,2011-06-25,OH,100/300,500,1219.94,7000000
593466,666,435,2006-11-21,OH,500/1000,500,1064.49,5000000
437442,667,344,2008-06-27,IL,100/300,1000,959.83,0
942106,668,204,1993-08-30,OH,250/500,2000,1767.02,0
794951,669,278,2008-04-21,IN,500/1000,500,1285.01,0
182450,670,434,2000-06-23,OH,500/1000,2000,1422.95,0
730973,671,209,2010-01-11,IN,100/300,2000,1223.39,0
687755,672,250,1990-03-28,IL,500/1000,2000,1539.06,0
757644,673,61,1998-01-29,IN,100/300,2000,988.06,0
998865,674,80,2014-12-05,IL,500/1000,1000,1740.57,0
944953,675,25,1995-12-07,OH,250/500,1000,1540.91,7000000
386429,676,4,2002-05-27,IL,250/500,500,1381.88,5000000
108270,677,32,2002-08-09,OH,100/300,500,1446.98,0
205134,678,125,2012-12-02,IN,500/1000,500,1220.86,0
749325,679,276,2000-03-22,IL,500/1000,500,948.1,0
774303,680,148,2002-04-13,OH,100/300,500,1471.24,0
698470,681,222,2008-06-17,IN,100/300,2000,1157.97,0
719989,682,32,1994-04-07,IL,250/500,2000,566.11,5000000
309323,683,78,1992-02-29,OH,500/1000,500,1060.88,0
444035,684,238,1996-05-11,OH,250/500,1000,1524.45,4000000
431478,685,313,2013-04-03,IN,250/500,1000,1556.17,0
797634,686,334,2009-11-12,OH,500/1000,500,1216.24,0
284836,687,190,2008-11-05,IN,250/500,500,1484.72,5000000
238196,688,194,1993-02-15,IL,250/500,500,1203.81,0
885789,689,290,2008-07-21,IN,250/500,1000,1393.34,0
287436,690,26,2010-09-11,OH,100/300,1000,1484.48,0
496067,691,254,1995-12-22,IL,250/500,500,1581.27,5000000
206004,692,199,1991-09-26,IL,250/500,1000,1281.25,0
153027,693,137,2010-03-11,IN,250/500,500,1667.83,0
469426,694,134,1990-07-15,OH,250/500,1000,1497.41,0
654974,695,73,2009-05-10,OH,100/300,500,803.36,0
943425,696,289,1999-10-28,OH,250/500,2000,1221.41,0
641845,697,176,1995-03-30,OH,250/500,500,1865.83,5000000
794534,698,145,1991-12-14,OH,250/500,2000,1434.27,0
357808,699,164,2011-01-31,IN,500/1000,500,1114.68,0
536052,700,186,2006-04-21,OH,250/500,2000,1218.56,0
873384,701,85,2004-03-10,IL,250/500,2000,1234.69,9000000
790225,702,162,1991-01-05,OH,250/500,500,964.92,0
587498,703,396,1996-10-15,IL,500/1000,500,1351.72,0
639027,704,270,1994-06-21,IL,250/500,1000,817.28,0
217899,705,168,1994-06-13,IL,500/1000,1000,1389.59,0
589094,706,274,2003-05-27,IN,250/500,1000,1353.53,0
458829,707,263,1996-07-06,IN,500/1000,1000,1294.04,0
626208,708,152,2005-05-08,OH,100/300,1000,840.81,0
315041,709,46,2010-11-02,OH,100/300,2000,998.19,0
283267,710,276,2012-07-29,OH,100/300,2000,1090.32,0
442494,711,234,2002-06-06,IN,500/1000,500,1780.67,0
159243,712,64,1991-09-19,IL,250/500,2000,1681.01,0
669800,713,456,2009-06-24,OH,250/500,1000,1395.77,0
520179,714,58,1992-05-29,OH,500/1000,2000,1471.44,5000000
607974,715,475,2004-08-12,IL,500/1000,500,1265.72,0
465065,716,96,2006-12-24,IN,250/500,1000,1274.7,5000000
369941,717,99,2007-07-24,OH,100/300,500,1330.39,0
447226,718,38,1994-08-17,OH,500/1000,500,1122.95,4000000
831668,719,259,1996-04-10,OH,250/500,2000,1655.79,0
922937,720,241,1992-12-11,IN,250/500,1000,935.77,0
640474,721,437,2010-08-01,IN,500/1000,2000,1192.04,0
153298,722,130,2009-03-23,OH,100/300,500,990.11,0
334749,723,269,1996-07-29,OH,100/300,2000,1422.21,0
221283,724,103,1994-08-23,OH,500/1000,500,914.85,0
961496,725,284,1992-01-05,IL,250/500,500,1123.84,0
804751,726,189,1997-09-11,OH,250/500,2000,838.02,0
369226,727,267,2002-02-10,OH,250/500,500,1300.68,0
691115,728,39,1993-01-28,IN,500/1000,500,1173.21,0
713172,729,140,1996-10-23,IL,250/500,1000,985.97,5000000
621756,730,243,1997-04-21,IN,100/300,1000,1129.23,0
615116,731,116,2008-11-09,IN,250/500,500,1194.83,0
947598,732,219,2002-06-20,IN,100/300,1000,1114.29,0
658002,733,96,2005-10-21,OH,250/500,2000,1509.04,0
374545,734,149,2005-08-28,IN,250/500,500,664.86,0
805806,735,246,2013-01-16,IN,250/500,1000,1267.4,6000000
235097,736,293,1992-04-28,IL,100/300,1000,1119.23,0
290971,737,339,2005-10-10,OH,100/300,500,1698.51,0
180286,738,160,2009-02-08,IL,500/1000,1000,1422.78,0
662088,739,224,2005-03-06,OH,500/1000,500,1212.75,0
884365,740,194,1994-05-17,IN,100/300,1000,1423.34,0
178081,741,385,1990-07-20,IN,250/500,1000,976.37,0
507452,742,100,2005-04-17,OH,250/500,500,1124.59,6000000
990624,743,371,1994-02-10,IN,250/500,1000,1569.33,0
892148,744,175,1995-03-29,IN,500/1000,500,1359.36,5000000
398683,745,373,2007-04-30,IN,250/500,500,1607.36,0
605100,746,258,2001-02-15,IL,100/300,500,1042.25,0
143109,747,255,2001-07-09,OH,250/500,500,1453.95,0
230223,748,37,2008-09-06,IL,500/1000,500,1969.63,0
769602,749,322,2004-12-19,IL,100/300,1000,1156.19,0
420815,750,204,2000-11-15,IL,100/300,2000,1124.47,0
973546,751,76,2007-03-14,OH,500/1000,500,1493.5,5000000
608039,752,193,2004-12-28,IL,100/300,500,1155.38,0
250162,753,405,1999-07-05,IL,250/500,500,878.19,0
786432,754,435,1997-11-15,IN,100/300,2000,1145.85,0
445195,755,54,2010-09-27,IN,100/300,500,1261.28,0
938634,756,144,1993-08-30,IL,100/300,500,1427.46,0
482495,757,92,1998-01-29,IL,500/1000,500,1592.41,0
796005,758,173,2007-08-18,OH,250/500,1000,1274.63,0
910604,759,436,1992-04-14,IN,250/500,500,1362.31,0
327488,760,155,1993-08-09,OH,250/500,1000,919.37,0
715202,761,78,1991-04-02,OH,250/500,1000,1377.23,0
648852,762,440,2007-03-15,IL,100/300,1000,995.55,5000000
516959,763,264,2010-05-01,IL,100/300,500,1508.12,6000000
984456,764,66,2003-06-24,IN,500/1000,500,484.67,0
801331,765,366,1990-07-08,IN,500/1000,1000,1561.41,0
786103,766,188,1994-09-24,OH,100/300,500,1457.21,0
684193,767,224,2012-06-20,IL,500/1000,1000,1128.71,0
247505,768,253,2006-04-19,IL,100/300,500,1358.2,0
259792,769,446,1999-04-07,IL,100/300,1000,1232.79,0
185124,770,169,2001-12-07,IL,100/300,1000,936.19,0
760700,771,255,2006-11-25,IL,250/500,500,1302.34,0
362407,772,209,1996-12-06,IN,100/300,500,1264.99,0
389525,773,210,2012-07-10,OH,500/1000,500,1467.76,0
179538,774,174,2014-04-07,IN,250/500,2000,1124.43,0
265437,775,70,2003-10-11,IL,250/500,1000,1319.81,0
266247,776,89,2015-01-17,IN,100/300,2000,1482.53,0
921851,777,458,1992-12-07,IN,100/300,1000,1328.18,0
488724,778,239,2004-11-29,IN,100/300,500,1463.95,0
192524,779,161,2004-01-02,IL,100/300,2000,1133.85,0
338070,780,446,2006-01-25,IN,500/1000,1000,1037.32,0
865607,781,476,1993-04-18,IN,250/500,1000,1562.8,0
963285,782,70,2006-12-09,IN,100/300,1000,1425.79,0
728491,783,233,1997-08-30,OH,500/1000,2000,1615.14,0
553436,784,122,1991-06-03,IL,250/500,500,1236.5,0
440616,785,335,1995-09-06,IL,500/1000,2000,1017.97,0
463237,786,257,2000-02-09,IN,100/300,2000,1306.0,0
753452,787,85,1996-07-23,IL,500/1000,2000,1174.14,0
920554,788,133,2005-09-21,IN,500/1000,1000,1231.01,0
594783,789,119,2011-12-30,IL,250/500,500,1299.18,0
725330,790,169,1996-07-21,IN,100/300,500,1469.75,0
607259,791,225,1996-04-08,OH,250/500,500,1390.72,0
979336,792,84,2001-03-04,IL,500/1000,500,1694.09,7000000
865201,793,169,2001-10-19,OH,100/300,2000,1140.15,0
140977,794,124,2006-08-18,IN,100/300,1000,1310.71,0
787351,795,320,2013-04-28,IL,250/500,2000,1730.49,7000000
272330,796,297,2009-11-29,IN,250/500,500,1616.65,7000000
728025,797,421,1990-02-15,IN,100/300,500,1935.85,4000000
804608,798,136,2002-04-12,OH,250/500,1000,855.14,0
718829,799,46,1999-02-21,OH,250/500,2000,1568.47,4000000
482404,800,34,2011-06-18,IN,500/1000,2000,1550.53,0
331170,801,95,1995-03-26,IL,250/500,2000,1370.92,0
753056,802,140,1991-05-03,IN,250/500,500,1363.59,0
910365,803,200,2001-12-19,IN,250/500,1000,828.42,3000000
379268,804,123,2012-08-05,IN,250/500,500,1209.63,0
362843,805,267,2004-08-09,OH,250/500,2000,1111.17,0
135400,806,290,2014-01-20,IN,500/1000,500,989.97,0
798579,807,45,2011-12-19,IN,250/500,1000,1114.23,0
250833,808,186,2008-07-28,IN,250/500,2000,1347.31,0
824116,809,135,1998-05-05,IL,250/500,2000,1687.53,0
322613,810,110,1995-04-16,IN,250/500,1000,1183.48,0
871305,811,259,1992-02-14,IL,500/1000,2000,1537.13,0
488037,812,114,2007-07-11,OH,250/500,1000,1173.25,0
485813,813,404,2010-04-07,IN,250/500,1000,1361.16,4000000
886473,814,282,1991-03-10,OH,500/1000,2000,1422.56,7000000
907113,815,57,1996-01-20,IL,500/1000,2000,1143.06,0
833321,816,215,2010-03-01,IN,250/500,500,1405.71,0
521592,817,140,2014-06-15,IL,100/300,500,1354.2,0
254837,818,250,2004-11-25,IN,100/300,500,1055.6,0
634499,819,286,2000-08-26,IL,250/500,1000,999.43,0
574707,820,356,2005-08-23,IN,250/500,2000,1155.97,0
476839,821,65,1990-08-09,IL,250/500,1000,1726.91,0
149601,822,187,2003-03-28,IN,500/1000,500,1232.57,0
630683,823,386,2007-10-23,OH,250/500,500,1078.65,0
500639,824,197,1996-06-27,OH,500/1000,1000,1324.78,0
352120,825,166,1994-12-11,IN,250/500,500,1518.54,0
569245,826,293,1995-12-05,IL,100/300,2000,1239.06,0
907012,827,179,1996-12-15,OH,500/1000,2000,1246.68,0
700074,828,76,2011-06-06,OH,250/500,1000,1622.67,0
866805,829,105,1995-12-13,OH,250/500,500,1082.36,0
951863,830,97,1997-10-28,OH,250/500,1000,1270.55,0
211578,831,148,1996-01-04,IL,500/1000,1000,1236.32,5000000
357394,832,77,2008-05-09,IL,250/500,2000,785.82,0
863749,833,295,2009-12-05,IN,250/500,500,1265.84,0
596914,834,126,1992-01-05,IN,250/500,500,1508.9,0
684653,835,132,1997-11-15,OH,250/500,2000,1106.84,0
528259,836,370,2012-12-22,IN,500/1000,2000,1389.13,7000000
797636,837,257,1992-05-19,IN,100/300,1000,974.84,0
326180,838,9,2002-05-25,IL,100/300,2000,1304.46,0
620075,839,185,2010-04-21,OH,250/500,500,1257.36,0
965187,840,234,1990-03-26,OH,250/500,500,1257.04,0
516182,841,253,2007-05-12,OH,100/300,2000,719.52,0
728839,842,233,2001-01-02,OH,500/1000,2000,1524.18,0
771509,843,274,2006-08-10,IN,500/1000,500,1395.58,0
264221,844,297,2014-07-28,IL,500/1000,1000,1243.68,0
602704,845,273,2011-09-27,OH,500/1000,1000,1189.04,0
672416,846,147,2013-04-20,IN,500/1000,2000,1375.29,0
545506,847,285,1991-03-20,IN,100/300,500,1389.13,0
777533,848,289,2002-12-21,OH,500/1000,1000,1387.51,0
953334,849,427,2005-12-03,IN,100/300,1000,1178.61,7000000
369781,850,380,2011-05-25,IL,250/500,2000,1166.62,6000000
990998,851,13,2006-10-18,IN,100/300,1000,1556.31,0
982678,852,282,2006-07-19,OH,250/500,500,1452.27,0
646069,853,312,2002-06-08,OH,500/1000,1000,1212.07,0
331683,854,266,2009-02-12,OH,100/300,2000,1578.54,0
364055,855,30,2001-05-14,IN,500/1000,500,1488.26,0
521854,856,198,2001-02-16,IN,250/500,1000,1096.39,0
737252,857,290,1993-11-18,OH,500/1000,2000,1215.36,0
344480,858,260,1990-02-18,OH,100/300,2000,1482.57,0
898519,859,233,2000-05-21,OH,250/500,1000,954.18,0
957816,860,130,2012-08-26,IL,500/1000,2000,1193.4,0
175960,861,230,2004-11-16,IN,100/300,1000,1023.11,0
489618,862,212,2003-01-23,IL,500/1000,1000,1524.45,0
717044,863,299,2008-11-07,OH,500/1000,1000,1653.32,0
101421,864,91,1999-10-19,IL,250/500,1000,1022.46,0
793948,865,398,1990-12-20,IL,100/300,2000,1396.43,0
737483,866,218,1996-02-14,IL,250/500,500,1521.55,0
695117,867,152,2001-06-10,IN,100/300,1000,1034.27,0
167466,868,212,2010-03-17,OH,100/300,1000,1255.35,0
664732,869,242,2003-07-30,IL,500/1000,2000,1396.89,6000000
143038,870,80,2014-09-17,OH,500/1000,500,795.31,0
979963,871,260,2009-06-03,IN,100/300,500,982.22,0
467841,872,133,1994-10-11,IN,500/1000,500,1074.07,0
219028,873,290,1991-07-18,OH,100/300,1000,1311.3,0
130156,874,322,2001-09-24,IL,250/500,2000,1277.12,0
762951,875,228,2012-09-19,IN,500/1000,500,1388.62,0
376879,876,195,1991-07-11,IL,100/300,1000,1406.52,8000000
599031,877,247,1991-10-29,IN,100/300,500,1558.29,0
676255,878,405,1999-12-28,IN,500/1000,1000,1132.47,4000000
985446,879,144,2012-10-11,OH,250/500,2000,1896.91,0
884180,880,338,1995-08-19,IL,500/1000,500,1143.46,4000000
571462,881,121,1991-02-11,IN,500/1000,500,1285.42,0
815883,882,398,1991-07-02,OH,250/500,2000,1305.26,0
258265,883,9,1994-04-10,IL,100/300,1000,1073.83,0
569714,884,115,2005-12-04,OH,500/1000,1000,1051.67,0
180008,885,280,2014-07-16,IL,250/500,1000,1387.35,0
633375,886,254,2003-09-17,IL,250/500,500,1083.64,0
556538,887,141,2000-07-15,IL,250/500,1000,1851.78,0
669501,888,441,2009-07-29,IN,250/500,500,1270.29,4000000
963761,889,381,1991-04-13,OH,500/1000,500,1459.99,0
753005,890,191,2005-11-20,IL,100/300,2000,1253.44,0
